################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 21:06:28 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow_netlist
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
60, top_santiago_cpu.uu_mem.mem_reg_2__6_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
61, top_santiago_cpu.uu_mem.mem_reg_2__5_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
62, top_santiago_cpu.uu_mem.mem_reg_2__4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
63, top_santiago_cpu.uu_mem.mem_reg_2__3_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
64, top_santiago_cpu.uu_mem.mem_reg_2__2_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
65, top_santiago_cpu.uu_mem.mem_reg_2__1_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
66, top_santiago_cpu.uu_mem.mem_reg_2__0_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
67, top_santiago_cpu.uu_mem.mem_reg_3__15_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
68, top_santiago_cpu.uu_mem.mem_reg_3__14_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
69, top_santiago_cpu.uu_mem.mem_reg_3__13_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
70, top_santiago_cpu.uu_mem.mem_reg_3__12_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
71, top_santiago_cpu.uu_mem.mem_reg_3__11_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
72, top_santiago_cpu.uu_mem.mem_reg_3__10_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
73, top_santiago_cpu.uu_mem.mem_reg_3__9_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
74, top_santiago_cpu.uu_mem.mem_reg_3__8_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
75, top_santiago_cpu.uu_mem.mem_reg_3__7_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
76, top_santiago_cpu.uu_mem.mem_reg_3__6_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
77, top_santiago_cpu.uu_mem.mem_reg_3__5_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
78, top_santiago_cpu.uu_mem.mem_reg_3__4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
79, top_santiago_cpu.uu_mem.mem_reg_3__3_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
